,msa,state,FIPS,GTCBSA,sex,q7_family_members,NO family,Family Available,age,Education,income_short,recage,racethn,weight
255,28020,Michigan,26077,28020,Female,None,1,0,55,post_college_degree,50-75k,55-64,White~H,1.404761905
257,24340,Michigan,26015,24340,Female,1 up to 5,0,1,80,highschool,50-75k,65+,White~H,2.056603774
260,0,Kentucky,21003,14540,Male,None,1,0,46,some_college,50-75k,45-54,White~H,2.645833333
261,0,Kentucky,21033,,Male,More than 20,0,1,60,highschool,50-75k,55-64,White~H,2.981132075
274,28700,Virginia,51191,28700,Male,6 up to 10,0,1,40,some_college,50-75k,35-44,White~H,2.3125
275,28700,Virginia,51191,28700,Male,1 up to 5,0,1,67,college_degree,50-75k,65+,White~H,1
279,26420,Texas,48157,26420,Female,6 up to 10,0,1,41,college_degree,50-75k,35-44,White~H,2.125
293,47900,Maryland,24033,47900,Male,6 up to 10,0,1,52,highschool,50-75k,45-54,White~H,2.642857143
295,47900,Maryland,24031,47900,Male,None,1,0,68,post_college_degree,50-75k,65+,White~H,1
299,47900,Maryland,24017,47900,Female,1 up to 5,0,1,58,college_degree,50-75k,55-64,White~H,1.041666667
306,37980,Delaware,10003,37980,Male,None,1,0,50,college_degree,50-75k,45-54,White~H,2.479166667
314,19740,Colorado,08001,19740,Male,1 up to 5,0,1,49,college_degree,50-75k,45-54,Hispanic,1.452830189
326,19740,Colorado,08059,19740,Female,6 up to 10,0,1,40,post_college_degree,50-75k,35-44,White~H,2.20754717
342,47900,Virginia,51700,47260,Male,More than 20,0,1,22,highschool,50-75k,18-24,Black~H,2.208333333
345,19060,West Virginia,54057,19060,Male,None,1,0,54,some_college,50-75k,45-54,White~H,2.708333333
348,33100,Florida,12086,33100,Female,6 up to 10,0,1,25,college_degree,50-75k,25-34,Hispanic,1.886792453
353,33100,Florida,12086,33100,Female,6 up to 10,0,1,42,highschool,50-75k,35-44,Black~H,3.791666667
370,0,Illinois,17109,31380,Female,1 up to 5,0,1,46,some_college,50-75k,45-54,White~H,1.301886792
371,31100,California,06037,31080,Male,6 up to 10,0,1,68,post_college_degree,50-75k,65+,White~H,1.660377358
376,31100,California,06037,31080,Female,None,1,0,42,some_college,50-75k,35-44,White~H,4.791666667
381,19820,Michigan,26163,19820,Female,1 up to 5,0,1,42,college_degree,50-75k,35-44,Black~H,3.238095238
389,41180,Missouri,29189,41180,Male,6 up to 10,0,1,43,some_college,50-75k,35-44,White~H,2.479166667
390,41180,Missouri,29510,41180,Female,6 up to 10,0,1,48,some_college,50-75k,45-54,White~H,3.354166667
393,41180,Missouri,29189,41180,Female,More than 20,0,1,21,some_college,50-75k,18-24,Black~H,3.075471698
408,48620,Kansas,20173,48620,Male,6 up to 10,0,1,56,some_college,50-75k,55-64,Black~H,2.018867925
412,48620,Kansas,20173,48620,Male,1 up to 5,0,1,60,post_college_degree,50-75k,55-64,White~H,1.375
417,26900,Indiana,18097,26900,Male,1 up to 5,0,1,28,highschool,50-75k,25-34,White~H,3.5625
423,26900,Indiana,18035,34620,Female,1 up to 5,0,1,22,some_college,50-75k,18-24,White~H,1.830188679
429,33740,Arkansas,05023,,Female,None,1,0,24,some_college,50-75k,18-24,White~H,3.404761905
434,47940,Iowa,19013,47940,Female,11 up to 20,0,1,38,highschool,50-75k,35-44,White~H,3.479166667
438,16300,Iowa,19043,,Female,6 up to 10,0,1,27,some_college,50-75k,25-34,White~H,5
440,0,Iowa,19087,,Female,6 up to 10,0,1,45,some_college,50-75k,45-54,White~H,1.79245283
452,31100,California,06037,31080,Female,6 up to 10,0,1,53,some_college,50-75k,45-54,White~H,4.895833333
453,31100,California,06037,31080,Female,1 up to 5,0,1,83,post_college_degree,50-75k,65+,White~H,1.976190476
464,49660,Ohio,39155,49660,Female,6 up to 10,0,1,97 or older,college_degree,50-75k,65+,White~H,1
467,0,Ohio,39081,48260,Male,More than 20,0,1,43,highschool,50-75k,35-44,White~H,2.80952381
470,49660,Ohio,39099,49660,Female,More than 20,0,1,47,some_college,50-75k,45-54,White~H,2.3125
471,15940,Ohio,39151,15940,Male,6 up to 10,0,1,40,some_college,50-75k,35-44,White~H,2.625
480,0,Alabama,01031,21460,Female,6 up to 10,0,1,50,highschool,50-75k,45-54,White~H,3.261904762
483,20020,Alabama,01069,20020,Male,1 up to 5,0,1,59,college_degree,50-75k,55-64,White~H,1
484,24660,North Carolina,37081,24660,Female,None,1,0,73,some_college,50-75k,65+,White~H,1.226415094
486,24660,North Carolina,37081,24660,Female,1 up to 5,0,1,64,trade_school_hs,50-75k,55-64,Other,3.283018868
497,29180,Louisiana,22099,29180,Female,More than 20,0,1,45,some_college,50-75k,45-54,White~H,2.0625
503,29180,Louisiana,22055,29180,Male,More than 20,0,1,48,college_degree,50-75k,45-54,White~H,1.396226415
505,35620,New York,36047,35620,Male,6 up to 10,0,1,49,college_degree,50-75k,45-54,Black~H,2.416666667
507,35620,New York,36047,35620,Male,6 up to 10,0,1,47,highschool,50-75k,45-54,Black~H,4.041666667
522,36100,Florida,12083,36100,Female,6 up to 10,0,1,59,trade_school_hs,50-75k,55-64,White~H,2.943396226
525,38900,Washington,53011,38900,Female,1 up to 5,0,1,21,some_college,50-75k,18-24,White~H,6.047619048
541,19660,Florida,12127,19660,Male,1 up to 5,0,1,55,some_college,50-75k,55-64,Hispanic,2.354166667
544,19660,Florida,12095,36740,Male,None,1,0,27,college_degree,50-75k,25-34,White~H,2.625
548,19660,Florida,12127,19660,Male,1 up to 5,0,1,59,college_degree,50-75k,55-64,White~H,1.666666667
570,12060,Georgia,13121,12060,Female,1 up to 5,0,1,48,college_degree,50-75k,45-54,Black~H,2.904761905
573,12060,Georgia,13121,12060,Female,6 up to 10,0,1,26,college_degree,50-75k,25-34,White~H,1.6875
577,12060,Georgia,13135,12060,Male,None,1,0,18,highschool,50-75k,18-24,Black~H,3.19047619
586,36420,Oklahoma,40109,36420,Male,None,1,0,,post_college_degree,50-75k,,Hispanic,2.020833333
595,36420,Oklahoma,40027,36420,Male,1 up to 5,0,1,59,post_college_degree,50-75k,55-64,White~H,1.132075472
598,36420,Oklahoma,40109,36420,Male,None,1,0,24,highschool,50-75k,18-24,White~H,4.716981132
603,13740,Montana,30003,,Male,More than 20,0,1,43,some_college,50-75k,35-44,Other,2.679245283
608,36740,Florida,12095,36740,Male,6 up to 10,0,1,42,highschool,50-75k,35-44,White~H,5.3125
610,36740,Florida,12095,36740,Female,11 up to 20,0,1,65,college_degree,50-75k,65+,White~H,1.261904762
612,36740,Florida,12095,36740,Female,None,1,0,54,post_college_degree,50-75k,45-54,Hispanic,1.735849057
613,36740,Florida,12099,33100,Male,6 up to 10,0,1,34,highschool,50-75k,25-34,Hispanic,2.056603774
631,41540,Delaware,10005,41540,Female,1 up to 5,0,1,63,some_college,50-75k,55-64,White~H,1.083333333
637,12580,Maryland,24003,12580,Female,6 up to 10,0,1,51,highschool,50-75k,45-54,White~H,3.830188679
643,12580,Maryland,24003,12580,Female,1 up to 5,0,1,47,some_college,50-75k,45-54,White~H,2.037735849
645,12580,Maryland,24003,12580,Female,None,1,0,60,college_degree,50-75k,55-64,White~H,1.458333333
671,33340,Wisconsin,55079,33340,Female,None,1,0,39,highschool,50-75k,35-44,White~H,3.976190476
674,33340,Wisconsin,55079,33340,Female,More than 20,0,1,41,highschool,50-75k,35-44,White~H,5.666666667
675,33340,Wisconsin,55079,33340,Male,None,1,0,28,college_degree,50-75k,25-34,White~H,3.1875
677,41860,California,06075,41860,Female,None,1,0,52,post_college_degree,50-75k,45-54,White~H,3.80952381
691,0,Ohio,39171,,Male,1 up to 5,0,1,76,post_college_degree,50-75k,65+,White~H,1
701,27740,Tennessee,47179,27740,Male,More than 20,0,1,30,college_degree,50-75k,25-34,White~H,2.952380952
709,42660,Arizona,04013,38060,Female,None,1,0,38,college_degree,50-75k,35-44,White~H,3.595238095
717,0,Texas,48227,13700,Male,None,1,0,55,college_degree,50-75k,55-64,White~H,1.264150943
719,16820,Virginia,51540,16820,Female,1 up to 5,0,1,54,college_degree,50-75k,45-54,White~H,3.625
723,19260,Virginia,51590,19260,Male,1 up to 5,0,1,74,some_college,50-75k,65+,White~H,1.773584906
726,41100,Utah,49053,41100,Male,None,1,0,31,post_college_degree,50-75k,25-34,Hispanic,2.19047619
733,17460,Ohio,39035,17460,Female,6 up to 10,0,1,65,college_degree,50-75k,65+,White~H,1.339622642
739,17460,Ohio,39085,17460,Male,1 up to 5,0,1,52,highschool,50-75k,45-54,White~H,3.132075472
748,12580,Maryland,24005,12580,Female,More than 20,0,1,25,some_college,50-75k,25-34,Black~H,2.245283019
756,0,Arkansas,05015,,Female,6 up to 10,0,1,67,college_degree,50-75k,65+,White~H,1.023809524
773,38060,Arizona,04013,38060,Male,6 up to 10,0,1,70,college_degree,50-75k,65+,White~H,1
777,38060,Arizona,04013,38060,Male,11 up to 20,0,1,59,some_college,50-75k,55-64,White~H,1.716981132
787,31140,Kentucky,21111,31140,Male,More than 20,0,1,58,trade_school_hs,50-75k,55-64,White~H,4.452380952
792,31140,Kentucky,21111,31140,Male,1 up to 5,0,1,80,highschool,50-75k,65+,White~H,2.245283019
800,31140,Kentucky,21111,31140,Male,1 up to 5,0,1,77,college_degree,50-75k,65+,White~H,1.375
802,31140,Kentucky,21029,31140,Male,11 up to 20,0,1,34,some_college,50-75k,25-34,Other,3.208333333
804,38900,Oregon,41051,38900,Male,6 up to 10,0,1,74,college_degree,50-75k,65+,White~H,1.132075472
807,41420,Alaska,02122,,Male,6 up to 10,0,1,24,trade_school_hs,50-75k,18-24,White~H,2.666666667
808,41420,Oregon,41047,41420,Male,1 up to 5,0,1,62,college_degree,50-75k,55-64,White~H,1
815,38900,Oregon,41067,38900,Female,None,1,0,77,post_college_degree,50-75k,65+,White~H,1.604166667
824,41420,Oregon,41047,41420,Male,6 up to 10,0,1,48,some_college,50-75k,45-54,White~H,3.119047619
826,35380,Louisiana,22051,35380,Female,1 up to 5,0,1,61,some_college,50-75k,55-64,White~H,1.479166667
833,10740,New Mexico,35001,10740,Male,None,1,0,61,highschool,50-75k,55-64,Hispanic,1.547169811
836,10740,New Mexico,35001,10740,Female,None,1,0,38,college_degree,50-75k,35-44,White~H,1.603773585
841,40340,Minnesota,27109,40340,Male,6 up to 10,0,1,22,college_degree,50-75k,18-24,Other,2.642857143
857,44060,Washington,53063,44060,Male,1 up to 5,0,1,41,highschool,50-75k,35-44,White~H,2.904761905
861,0,Washington,53001,36830,Male,More than 20,0,1,28,highschool,50-75k,25-34,Hispanic,4.452380952
872,41860,California,06001,41860,Male,None,1,0,45,some_college,50-75k,45-54,Other,2.962264151
875,41860,California,06001,41860,Female,None,1,0,30,post_college_degree,50-75k,25-34,White~H,3.264150943
903,11180,Iowa,19169,11180,Male,1 up to 5,0,1,65,post_college_degree,50-75k,65+,White~H,1
910,11180,Iowa,19169,11180,Female,6 up to 10,0,1,48,some_college,50-75k,45-54,White~H,1
912,35620,New York,36059,35620,Male,1 up to 5,0,1,83,college_degree,50-75k,65+,White~H,1.679245283
922,0,Michigan,26023,17740,Male,6 up to 10,0,1,50,college_degree,50-75k,45-54,White~H,1.404761905
935,0,New York,36035,24100,Male,6 up to 10,0,1,44,some_college,50-75k,35-44,White~H,2.716981132
937,0,New York,36039,,Male,6 up to 10,0,1,73,highschool,50-75k,65+,White~H,2.395833333
938,46060,Arizona,04019,46060,Male,1 up to 5,0,1,39,college_degree,50-75k,35-44,White~H,1.270833333
941,46060,Arizona,04019,46060,Male,1 up to 5,0,1,71,post_college_degree,50-75k,65+,White~H,1.238095238
943,0,Arizona,04003,43420,Male,1 up to 5,0,1,,highschool,50-75k,,Black~H,2.20754717
957,49700,California,06101,49700,Male,6 up to 10,0,1,69,college_degree,50-75k,65+,White~H,1.214285714
964,40220,Virginia,51161,40220,Female,None,1,0,71,trade_school_hs,50-75k,65+,White~H,2.264150943
965,40220,Virginia,51161,40220,Female,1 up to 5,0,1,39,some_college,50-75k,35-44,White~H,2.729166667
966,47900,Virginia,51187,47900,Male,None,1,0,52,highschool,50-75k,45-54,White~H,2.285714286
971,13980,Virginia,51121,13980,Male,1 up to 5,0,1,27,college_degree,50-75k,25-34,Hispanic,1.166666667
974,0,Oregon,41011,18300,Male,None,1,0,65,post_college_degree,50-75k,65+,White~H,1.238095238
976,0,Oregon,41043,10540,Female,1 up to 5,0,1,60,college_degree,50-75k,55-64,White~H,1.056603774
985,23420,California,06019,23420,Female,1 up to 5,0,1,68,some_college,50-75k,65+,Black~H,1.333333333
990,23420,California,06019,23420,Female,More than 20,0,1,45,some_college,50-75k,45-54,Hispanic,2.452380952
999,33100,Florida,12099,33100,Male,1 up to 5,0,1,80,college_degree,50-75k,65+,White~H,1.166666667
1004,33100,Florida,12099,33100,Male,None,1,0,50,some_college,50-75k,45-54,Hispanic,2.9375
1008,33100,New York,36045,48060,Female,None,1,0,66,college_degree,50-75k,65+,White~H,1
1015,20220,Iowa,19061,20220,Female,1 up to 5,0,1,28,college_degree,50-75k,25-34,Hispanic,2.357142857
1017,0,Pennsylvania,42097,44980,Female,More than 20,0,1,45,college_degree,50-75k,45-54,White~H,1.433962264
1020,0,Pennsylvania,42037,14100,Female,More than 20,0,1,27,highschool,50-75k,25-34,White~H,5.119047619
1022,0,Pennsylvania,42095,10900,Male,11 up to 20,0,1,27,highschool,50-75k,25-34,White~H,5.5
