,msa,state,FIPS,GTCBSA,sex,q7_family_members,NO family,Family Available,age,Education,income_short,recage,racethn,weight
11,14860,Connecticut,09001,14860,Female,None,1,0,44,some_college,10-20k,35-44,White~H,3.547619048
24,13820,Alabama,01115,13820,Female,1 up to 5,0,1,49,highschool,10-20k,45-54,Black~H,2.25
27,13820,Alabama,01021,13820,Female,More than 20,0,1,74,lt_highschool,10-20k,65+,White~H,2.523809524
29,13820,Alabama,01073,13820,Female,6 up to 10,0,1,80,highschool,10-20k,65+,White~H,3.333333333
38,42660,Washington,53033,42660,Female,None,1,0,26,post_college_degree,10-20k,25-34,White~H,5.119047619
50,30340,Maine,23001,30340,Female,1 up to 5,0,1,64,highschool,10-20k,55-64,White~H,3.238095238
63,32900,California,06047,32900,Male,None,1,0,25,highschool,10-20k,25-34,Black~H,2.20754717
74,41700,Texas,48029,41700,Female,6 up to 10,0,1,33,lt_highschool,10-20k,25-34,Black~H,3.830188679
75,41700,Texas,48029,41700,Male,None,1,0,30,lt_highschool,10-20k,25-34,Hispanic,6.071428571
104,37980,Pennsylvania,42045,37980,Female,1 up to 5,0,1,59,lt_highschool,10-20k,55-64,White~H,4.716981132
117,17460,Ohio,39103,17460,Male,1 up to 5,0,1,20,highschool,10-20k,18-24,White~H,3.5625
128,0,Minnesota,27007,13420,Male,More than 20,0,1,21,trade_school_hs,10-20k,18-24,Other,4.716981132
131,0,Minnesota,27167,47420,Male,11 up to 20,0,1,85,lt_highschool,10-20k,65+,White~H,3.571428571
138,16980,Indiana,18089,16980,Female,1 up to 5,0,1,82,trade_school_hs,10-20k,65+,White~H,2.5625
139,16980,Indiana,18181,,Male,6 up to 10,0,1,18,lt_highschool,10-20k,18-24,White~H,5.083333333
147,25060,South Carolina,45041,22500,Male,1 up to 5,0,1,52,lt_highschool,10-20k,45-54,Black~H,4.452380952
150,0,Georgia,13275,45620,Male,More than 20,0,1,57,highschool,10-20k,55-64,Black~H,2.245283019
186,33660,Florida,12011,33100,Male,None,1,0,26,post_college_degree,10-20k,25-34,Hispanic,1.754716981
194,0,North Carolina,37083,40260,Male,6 up to 10,0,1,27,some_college,10-20k,25-34,Black~H,2.791666667
196,0,North Carolina,37049,35100,Male,1 up to 5,0,1,49,highschool,10-20k,45-54,White~H,2.119047619
197,24780,North Carolina,37147,24780,Female,11 up to 20,0,1,55,post_college_degree,10-20k,55-64,White~H,1.0625
232,33340,Wisconsin,55133,33340,Male,11 up to 20,0,1,80,lt_highschool,10-20k,65+,White~H,2.622641509
233,33340,Wisconsin,55079,33340,Male,6 up to 10,0,1,58,some_college,10-20k,55-64,Black~H,3.377358491
235,33340,Wisconsin,55133,33340,Female,More than 20,0,1,62,highschool,10-20k,55-64,White~H,2.645833333
239,0,Wisconsin,55127,48580,Male,1 up to 5,0,1,44,lt_highschool,10-20k,35-44,Hispanic,5.285714286
251,37980,Pennsylvania,42101,37980,Male,More than 20,0,1,37,highschool,10-20k,35-44,Hispanic,6.071428571
253,35660,Michigan,26021,35660,Female,1 up to 5,0,1,38,lt_highschool,10-20k,35-44,White~H,4.245283019
278,0,Virginia,51021,,Female,More than 20,0,1,32,some_college,10-20k,25-34,White~H,3.75
283,26420,Texas,48201,26420,Female,More than 20,0,1,25,highschool,10-20k,25-34,White~H,5.5
284,26420,Texas,48201,26420,Male,6 up to 10,0,1,63,lt_highschool,10-20k,55-64,Hispanic,5.571428571
286,26420,Texas,48201,26420,Female,1 up to 5,0,1,67,lt_highschool,10-20k,65+,Hispanic,4.583333333
303,47900,Maryland,24033,47900,Male,6 up to 10,0,1,18,highschool,10-20k,18-24,Black~H,2.416666667
308,20100,Delaware,10001,20100,Male,6 up to 10,0,1,26,some_college,10-20k,25-34,White~H,2.490566038
344,0,West Virginia,54059,,Male,More than 20,0,1,63,lt_highschool,10-20k,55-64,White~H,3.716981132
347,16620,West Virginia,54039,16620,Female,1 up to 5,0,1,72,,10-20k,65+,White~H,1
386,41180,Missouri,29189,41180,Female,1 up to 5,0,1,52,highschool,10-20k,45-54,White~H,5.5
439,0,Iowa,19115,,Female,1 up to 5,0,1,26,college_degree,10-20k,25-34,White~H,1.041666667
454,31100,Washington,53063,44060,Male,None,1,0,40,highschool,10-20k,35-44,Hispanic,4.229166667
476,0,Alabama,01039,,Female,More than 20,0,1,55,post_college_degree,10-20k,55-64,White~H,1
506,35620,New York,36081,35620,Male,None,1,0,25,lt_highschool,10-20k,25-34,Hispanic,6.071428571
521,36740,Florida,12069,36740,Male,1 up to 5,0,1,84,highschool,10-20k,65+,White~H,1.833333333
533,38900,Washington,53011,38900,Male,1 up to 5,0,1,63,some_college,10-20k,55-64,White~H,1.433962264
539,47020,Texas,48469,47020,Female,1 up to 5,0,1,86,highschool,10-20k,65+,White~H,2.547619048
543,19660,Florida,12127,19660,Female,More than 20,0,1,25,some_college,10-20k,25-34,Black~H,3.208333333
554,39300,Rhode Island,44007,39300,Female,6 up to 10,0,1,95,highschool,10-20k,65+,White~H,3.595238095
562,0,Nebraska,31167,35740,Male,More than 20,0,1,77,lt_highschool,10-20k,65+,White~H,3.083333333
575,12060,South Carolina,45077,24860,Female,None,1,0,50,some_college,10-20k,45-54,White~H,2.357142857
584,12060,Alabama,01089,26620,Male,1 up to 5,0,1,36,highschool,10-20k,35-44,Black~H,3.773584906
589,36420,Oklahoma,40017,36420,Male,1 up to 5,0,1,82,highschool,10-20k,65+,White~H,1.833333333
604,13740,Montana,30111,13740,Female,6 up to 10,0,1,19,some_college,10-20k,18-24,White~H,3.708333333
605,24500,Montana,30013,24500,Female,1 up to 5,0,1,29,lt_highschool,10-20k,25-34,White~H,4.716981132
606,36740,Florida,12097,36740,Female,1 up to 5,0,1,42,some_college,10-20k,35-44,Hispanic,2.283018868
609,36740,Florida,12095,36740,Male,6 up to 10,0,1,60,college_degree,10-20k,55-64,White~H,1
621,36740,Florida,12097,36740,Female,1 up to 5,0,1,33,some_college,10-20k,25-34,White~H,2.41509434
627,41940,California,06007,17020,Male,6 up to 10,0,1,25,some_college,10-20k,25-34,Other,5.642857143
662,38300,Pennsylvania,42003,38300,Female,1 up to 5,0,1,69,some_college,10-20k,65+,White~H,1.020833333
669,33340,Wisconsin,55079,33340,Female,None,1,0,57,college_degree,10-20k,55-64,White~H,1.5
686,44180,Missouri,29077,44180,Male,None,1,0,52,highschool,10-20k,45-54,White~H,2.595238095
687,0,Ohio,39005,11740,Male,,0,1,95,lt_highschool,10-20k,65+,White~H,3.0625
700,17420,Tennessee,47011,17420,Female,1 up to 5,0,1,86,lt_highschool,10-20k,65+,White~H,2.666666667
704,27740,Tennessee,47179,27740,Female,11 up to 20,0,1,79,college_degree,10-20k,65+,White~H,1.214285714
720,16820,Virginia,51003,16820,Female,More than 20,0,1,21,some_college,10-20k,18-24,Black~H,1.603773585
727,41100,Utah,49053,41100,Male,1 up to 5,0,1,70,highschool,10-20k,65+,White~H,2.625
751,19100,Texas,48439,19100,Female,More than 20,0,1,19,some_college,10-20k,18-24,Black~H,5.761904762
759,22900,Arkansas,05131,22900,Male,None,1,0,78,lt_highschool,10-20k,65+,White~H,2.354166667
780,26300,Arkansas,05051,26300,Male,1 up to 5,0,1,51,trade_school_hs,10-20k,45-54,White~H,2.285714286
790,31140,Kentucky,21111,31140,Female,6 up to 10,0,1,18,highschool,10-20k,18-24,Other,3.729166667
797,31140,Kentucky,21029,31140,Male,1 up to 5,0,1,20,some_college,10-20k,18-24,White~H,1.981132075
811,38900,Oregon,41005,38900,Male,6 up to 10,0,1,68,lt_highschool,10-20k,65+,White~H,3.528301887
830,35380,Louisiana,22051,35380,Female,1 up to 5,0,1,83,some_college,10-20k,65+,White~H,1.095238095
859,28420,Washington,53005,28420,Male,6 up to 10,0,1,78,some_college,10-20k,65+,White~H,1.479166667
874,41860,California,06001,41860,Female,None,1,0,35,lt_highschool,10-20k,35-44,Hispanic,5.145833333
891,12420,Texas,48453,12420,Male,6 up to 10,0,1,28,college_degree,10-20k,25-34,Hispanic,1.452380952
896,17140,Ohio,39015,17140,Male,1 up to 5,0,1,47,highschool,10-20k,45-54,White~H,1.833333333
933,24020,New York,36115,24020,Male,1 up to 5,0,1,77,highschool,10-20k,65+,White~H,2.642857143
940,46060,Arizona,04019,46060,Female,1 up to 5,0,1,64,college_degree,10-20k,55-64,White~H,1.056603774
944,46060,Arizona,04019,46060,Male,1 up to 5,0,1,82,lt_highschool,10-20k,65+,White~H,3.245283019
946,0,Arizona,04023,35700,Female,None,1,0,39,lt_highschool,10-20k,35-44,Hispanic,4.291666667
951,0,California,06089,39820,Female,None,1,0,80,some_college,10-20k,65+,White~H,1.333333333
952,17020,California,06001,41860,Female,1 up to 5,0,1,23,college_degree,10-20k,18-24,Other,2.625
955,17020,California,06007,17020,Female,6 up to 10,0,1,25,some_college,10-20k,25-34,Hispanic,1.113207547
975,0,Oregon,41015,15060,Male,None,1,0,62,lt_highschool,10-20k,55-64,White~H,5.4375
987,23420,California,06019,23420,Male,1 up to 5,0,1,29,college_degree,10-20k,25-34,White~H,2
989,23420,California,06019,23420,Female,1 up to 5,0,1,25,college_degree,10-20k,25-34,White~H,1.5
996,47300,California,06107,47300,Female,None,1,0,54,lt_highschool,10-20k,45-54,Hispanic,3.083333333
1011,31100,California,06037,31080,Female,6 up to 10,0,1,21,highschool,10-20k,18-24,Hispanic,6.071428571
1037,0,Missouri,29065,,Female,1 up to 5,0,1,60,highschool,10-20k,55-64,White~H,1.75
1041,21140,Indiana,18039,21140,Male,11 up to 20,0,1,53,highschool,10-20k,45-54,White~H,4.416666667
1045,0,New Mexico,35019,,Male,None,1,0,22,highschool,10-20k,18-24,Hispanic,2.261904762
1060,40380,New York,36051,40380,Female,6 up to 10,0,1,36,some_college,10-20k,35-44,White~H,2.830188679
1067,40380,New York,36055,40380,Male,None,1,0,63,lt_highschool,10-20k,55-64,Black~H,4.020833333
1077,0,Mississippi,28069,32940,Female,1 up to 5,0,1,36,some_college,10-20k,35-44,Black~H,1.5
1078,0,Mississippi,28061,29860,Female,More than 20,0,1,32,highschool,10-20k,25-34,Black~H,3.666666667
1105,0,Kentucky,21043,,Male,11 up to 20,0,1,35,highschool,10-20k,35-44,White~H,3.905660377
1106,0,Kentucky,21129,,Female,1 up to 5,0,1,60,some_college,10-20k,55-64,White~H,1.095238095
1114,13780,Pennsylvania,42115,,Male,6 up to 10,0,1,26,college_degree,10-20k,25-34,White~H,2.145833333
1123,0,Wisconsin,55123,,Male,1 up to 5,0,1,28,trade_school_hs,10-20k,25-34,White~H,4.283018868
1137,45940,New Jersey,34035,35620,Male,1 up to 5,0,1,22,highschool,10-20k,18-24,Hispanic,2.261904762
1148,39740,Pennsylvania,42091,37980,Male,6 up to 10,0,1,51,highschool,10-20k,45-54,White~H,2.886792453
1162,33460,Minnesota,27053,33460,Female,None,1,0,70,trade_school_hs,10-20k,65+,White~H,3.380952381
1177,18140,Ohio,39049,18140,Female,11 up to 20,0,1,38,highschool,10-20k,35-44,Black~H,4.80952381
1183,34980,Tennessee,47037,34980,Male,None,1,0,38,lt_highschool,10-20k,35-44,Hispanic,5.5
1206,14460,Massachusetts,25025,14460,Male,6 up to 10,0,1,75,highschool,10-20k,65+,White~H,2.571428571
1236,38060,Arizona,04013,38060,Female,1 up to 5,0,1,66,some_college,10-20k,65+,White~H,1.738095238
1247,31100,California,06037,31080,Female,None,1,0,30,highschool,10-20k,25-34,Hispanic,3.905660377
1267,35620,New York,36103,35620,Female,6 up to 10,0,1,30,lt_highschool,10-20k,25-34,White~H,4.283018868
1288,0,Iowa,19123,36820,Male,More than 20,0,1,19,highschool,10-20k,18-24,White~H,1.80952381
1289,19780,Iowa,19121,19780,Female,1 up to 5,0,1,55,some_college,10-20k,55-64,White~H,1
1295,35620,New York,36047,35620,Female,None,1,0,21,trade_school_hs,10-20k,18-24,Black~H,4.528301887
1296,35620,New York,36061,35620,Male,1 up to 5,0,1,30,highschool,10-20k,25-34,Hispanic,5.5
1310,0,Missouri,29195,32180,Female,More than 20,0,1,86,some_college,10-20k,65+,White~H,1
1313,12540,California,06029,12540,Female,1 up to 5,0,1,55,some_college,10-20k,55-64,White~H,1.452830189
1341,0,North Dakota,38101,33500,Female,11 up to 20,0,1,61,highschool,10-20k,55-64,White~H,2.738095238
1362,47900,Virginia,51510,47900,Female,None,1,0,26,post_college_degree,10-20k,25-34,White~H,2.375
1380,0,North Carolina,37097,16740,Male,6 up to 10,0,1,42,highschool,10-20k,35-44,Black~H,1.4375
1401,34900,California,06055,34900,Female,6 up to 10,0,1,27,college_degree,10-20k,25-34,Hispanic,2.476190476
1414,16980,Illinois,17031,16980,Female,More than 20,0,1,73,highschool,10-20k,65+,White~H,3.666666667
1417,16980,Illinois,17031,16980,Male,None,1,0,30,highschool,10-20k,25-34,Hispanic,5.5
1422,0,Iowa,19027,,Male,1 up to 5,0,1,47,lt_highschool,10-20k,45-54,White~H,4.132075472
1436,31100,California,06059,31080,Male,1 up to 5,0,1,50,some_college,10-20k,45-54,Hispanic,3.928571429
1441,31100,Massachusetts,25015,44140,Male,None,1,0,21,college_degree,10-20k,18-24,White~H,2.905660377
1444,0,Wisconsin,55075,31940,Male,None,1,0,67,highschool,10-20k,65+,White~H,1.716981132
1467,0,Pennsylvania,42055,16540,Female,6 up to 10,0,1,29,some_college,10-20k,25-34,White~H,2.41509434
1482,25420,Pennsylvania,42043,25420,Female,11 up to 20,0,1,36,highschool,10-20k,35-44,White~H,4.452380952
1483,35620,New York,36085,35620,Female,1 up to 5,0,1,69,highschool,10-20k,65+,White~H,3.811320755
1492,35620,New York,36081,35620,Male,1 up to 5,0,1,52,lt_highschool,10-20k,45-54,White~H,4.238095238
1508,19740,Colorado,08001,19740,Male,1 up to 5,0,1,23,lt_highschool,10-20k,18-24,Hispanic,5.5
1512,38300,Pennsylvania,42129,38300,Male,None,1,0,88,college_degree,10-20k,65+,White~H,1
1513,38300,Pennsylvania,42007,38300,Male,6 up to 10,0,1,78,highschool,10-20k,65+,White~H,3.380952381
1539,35620,New Jersey,34025,35620,Female,More than 20,0,1,79,some_college,10-20k,65+,White~H,1.238095238
1572,47260,Virginia,51095,47260,Male,1 up to 5,0,1,54,highschool,10-20k,45-54,White~H,3.023809524
1603,0,Indiana,18023,23140,Male,1 up to 5,0,1,53,trade_school_hs,10-20k,45-54,White~H,2.833333333
1606,12060,Georgia,13121,12060,Male,11 up to 20,0,1,22,college_degree,10-20k,18-24,White~H,2.833333333
1625,16980,Illinois,17031,16980,Male,6 up to 10,0,1,57,trade_school_hs,10-20k,55-64,Black~H,2.75
1664,29940,Kansas,20045,29940,Male,6 up to 10,0,1,80,lt_highschool,10-20k,65+,White~H,3.476190476
1674,36260,Utah,49057,36260,Male,1 up to 5,0,1,18,highschool,10-20k,18-24,Hispanic,2.904761905
1692,0,South Carolina,45071,35140,Female,1 up to 5,0,1,75,lt_highschool,10-20k,65+,White~H,3.791666667
1695,17900,South Carolina,45079,17900,Female,1 up to 5,0,1,53,some_college,10-20k,45-54,Black~H,1.943396226
1746,45300,Florida,12057,45300,Female,6 up to 10,0,1,60,some_college,10-20k,55-64,White~H,1.479166667
1758,0,Pennsylvania,42111,43740,Female,1 up to 5,0,1,67,highschool,10-20k,65+,White~H,2.479166667
1785,28140,Missouri,29095,28140,Male,6 up to 10,0,1,55,highschool,10-20k,55-64,Black~H,1.958333333
1794,19100,Texas,48041,17780,Male,None,1,0,21,some_college,10-20k,18-24,Other,2.660377358
1800,0,Texas,48221,19100,Female,1 up to 5,0,1,69,some_college,10-20k,65+,White~H,1
1807,31100,California,06037,31080,Female,6 up to 10,0,1,20,some_college,10-20k,18-24,White~H,6.071428571
1825,0,North Carolina,37189,14380,Female,1 up to 5,0,1,65,post_college_degree,10-20k,65+,White~H,1
1846,0,South Carolina,45067,,Female,6 up to 10,0,1,41,lt_highschool,10-20k,35-44,Black~H,4.047619048
1848,22500,South Carolina,45031,22500,Female,11 up to 20,0,1,63,lt_highschool,10-20k,55-64,Black~H,3.547619048
1874,0,Florida,12131,18880,Female,6 up to 10,0,1,25,highschool,10-20k,25-34,Black~H,4.037735849
1892,41740,California,06073,41740,Female,None,1,0,76,highschool,10-20k,65+,White~H,5
1903,35980,Connecticut,09011,35980,Female,1 up to 5,0,1,81,post_college_degree,10-20k,65+,White~H,1.6875
1910,25540,Connecticut,09003,25540,Male,6 up to 10,0,1,53,highschool,10-20k,45-54,White~H,2.509433962
1919,24860,South Carolina,45077,24860,Female,None,1,0,49,college_degree,10-20k,45-54,White~H,1.433962264
1927,0,South Carolina,45073,42860,Male,More than 20,0,1,25,some_college,10-20k,25-34,Black~H,1.471698113
1952,32820,Georgia,13121,12060,Male,1 up to 5,0,1,20,lt_highschool,10-20k,18-24,Other,5.5
1953,32820,Tennessee,47167,32820,Male,1 up to 5,0,1,50,highschool,10-20k,45-54,Black~H,2.476190476
1968,0,Texas,48073,27380,Female,None,1,0,56,highschool,10-20k,55-64,White~H,2.716981132
1994,35620,New Jersey,34013,35620,Female,1 up to 5,0,1,46,highschool,10-20k,45-54,Black~H,4.333333333
2001,40140,California,06071,40140,Male,11 up to 20,0,1,51,lt_highschool,10-20k,45-54,Hispanic,4.291666667
2024,0,Georgia,13005,,Female,1 up to 5,0,1,83,college_degree,10-20k,65+,White~H,1
2056,40900,California,06067,40900,Male,6 up to 10,0,1,19,highschool,10-20k,18-24,White~H,3.79245283
2074,46140,Oklahoma,40145,46140,Female,1 up to 5,0,1,27,highschool,10-20k,25-34,Black~H,3.571428571
2079,46140,Oklahoma,40147,12780,Male,6 up to 10,0,1,21,some_college,10-20k,18-24,White~H,3.645833333
2104,11540,Wisconsin,55087,11540,Female,More than 20,0,1,69,highschool,10-20k,65+,White~H,2.380952381
2111,41860,California,06001,41860,Female,None,1,0,59,highschool,10-20k,55-64,White~H,4
2130,0,Tennessee,47177,32660,Female,1 up to 5,0,1,46,some_college,10-20k,45-54,White~H,1.981132075
2142,0,Texas,48347,34860,Female,None,1,0,33,lt_highschool,10-20k,25-34,Hispanic,6.071428571
2145,19380,Ohio,39113,19380,Female,1 up to 5,0,1,60,lt_highschool,10-20k,55-64,White~H,2.981132075
2148,44220,Ohio,39023,44220,Female,6 up to 10,0,1,57,highschool,10-20k,55-64,White~H,3.80952381
2161,39460,Florida,12027,11580,Male,6 up to 10,0,1,84,college_degree,10-20k,65+,White~H,1
2165,14600,Florida,12081,35840,Female,1 up to 5,0,1,55,lt_highschool,10-20k,55-64,White~H,4.104166667
2183,33460,Minnesota,27053,33460,Female,1 up to 5,0,1,19,some_college,10-20k,18-24,Black~H,2.226415094
2195,32580,Texas,48215,32580,Male,1 up to 5,0,1,51,lt_highschool,10-20k,45-54,Hispanic,3.943396226
2199,32580,Texas,48215,32580,Female,1 up to 5,0,1,50,lt_highschool,10-20k,45-54,Hispanic,3.433962264
2206,0,Colorado,08085,33940,Male,6 up to 10,0,1,80,highschool,10-20k,65+,White~H,3.214285714
2209,24540,Colorado,08123,24540,Female,6 up to 10,0,1,60,highschool,10-20k,55-64,Hispanic,2.320754717
2222,19100,Texas,48121,19100,Female,1 up to 5,0,1,81,some_college,10-20k,65+,White~H,1.333333333
2230,35620,New Jersey,34031,35620,Female,1 up to 5,0,1,69,highschool,10-20k,65+,White~H,5.479166667
2249,35380,Louisiana,22103,35380,Male,None,1,0,69,some_college,10-20k,65+,White~H,1.132075472
2258,0,Michigan,26063,,Female,None,1,0,83,highschool,10-20k,65+,White~H,2.301886792
0,35620,New Jersey,34017,35620,Female,More than 20,0,1,27,college_degree,100-150k,25-34,Other,3.214285714
21,13820,Alabama,01055,23460,Male,11 up to 20,0,1,28,highschool,100-150k,25-34,White~H,4.642857143
34,42660,Washington,53033,42660,Female,1 up to 5,0,1,53,college_degree,100-150k,45-54,White~H,3.833333333
39,42660,Washington,53033,42660,Male,None,1,0,46,college_degree,100-150k,45-54,White~H,3.380952381
42,38860,Maine,23023,38860,Male,11 up to 20,0,1,44,highschool,100-150k,35-44,White~H,4.333333333
47,38860,Maine,23005,38860,Male,1 up to 5,0,1,50,college_degree,100-150k,45-54,White~H,2.708333333
52,38860,Maine,23005,38860,Female,1 up to 5,0,1,58,college_degree,100-150k,55-64,White~H,1.69047619
56,14260,Idaho,16001,14260,Male,None,1,0,37,college_degree,100-150k,35-44,White~H,1.943396226
71,41700,Texas,48259,41700,Male,None,1,0,49,post_college_degree,100-150k,45-54,White~H,1.8125
88,19100,Texas,48113,19100,Female,1 up to 5,0,1,50,post_college_degree,100-150k,45-54,Black~H,3.285714286
92,19100,Texas,48113,19100,Female,6 up to 10,0,1,,college_degree,100-150k,,Other,2.735849057
93,19100,Texas,48041,17780,Male,1 up to 5,0,1,21,some_college,100-150k,18-24,White~H,5.714285714
141,12940,Louisiana,22033,12940,Female,More than 20,0,1,37,post_college_degree,100-150k,35-44,White~H,3.857142857
149,0,Georgia,13277,45700,Male,1 up to 5,0,1,71,post_college_degree,100-150k,65+,White~H,1.018867925
172,19820,Michigan,26125,19820,Male,6 up to 10,0,1,52,post_college_degree,100-150k,45-54,White~H,1.452830189
182,33660,Alabama,01097,33660,Male,6 up to 10,0,1,48,college_degree,100-150k,45-54,White~H,1.354166667
187,33660,Alabama,01097,33660,Female,1 up to 5,0,1,51,some_college,100-150k,45-54,White~H,1.773584906
223,23060,Indiana,18003,23060,Male,1 up to 5,0,1,,highschool,100-150k,,White~H,2.214285714
227,23060,Indiana,18069,26540,Female,1 up to 5,0,1,24,post_college_degree,100-150k,18-24,White~H,3.285714286
242,37980,Pennsylvania,42017,37980,Male,6 up to 10,0,1,60,college_degree,100-150k,55-64,White~H,1.301886792
285,26420,Texas,48201,26420,Male,1 up to 5,0,1,39,some_college,100-150k,35-44,White~H,3.666666667
287,26420,Texas,48157,26420,Female,None,1,0,55,some_college,100-150k,55-64,White~H,1.58490566
289,47900,Maryland,24033,47900,Male,11 up to 20,0,1,40,highschool,100-150k,35-44,,2.867924528
292,47900,Maryland,24033,47900,Male,None,1,0,46,post_college_degree,100-150k,45-54,White~H,2.479166667
304,47900,Maryland,24021,47900,Male,1 up to 5,0,1,57,highschool,100-150k,55-64,Hispanic,2.479166667
305,37980,Delaware,10003,37980,Male,None,1,0,38,college_degree,100-150k,35-44,White~H,2.245283019
309,20100,Delaware,10001,20100,Male,1 up to 5,0,1,39,college_degree,100-150k,35-44,Black~H,1.735849057
317,19740,Colorado,08059,19740,Male,1 up to 5,0,1,60,post_college_degree,100-150k,55-64,White~H,1.113207547
341,47900,West Virginia,54037,47900,Female,None,1,0,40,highschool,100-150k,35-44,White~H,4.716981132
350,33100,Florida,12086,33100,Male,None,1,0,47,post_college_degree,100-150k,45-54,White~H,1.622641509
355,33100,Florida,12086,33100,Male,More than 20,0,1,42,some_college,100-150k,35-44,Black~H,2.283018868
358,0,Nebraska,31033,,Female,6 up to 10,0,1,50,some_college,100-150k,45-54,White~H,1.785714286
375,31100,California,06037,31080,Male,6 up to 10,0,1,23,college_degree,100-150k,18-24,White~H,2.261904762
378,31100,California,06037,31080,Male,1 up to 5,0,1,29,college_degree,100-150k,25-34,Hispanic,1.952380952
396,41180,Missouri,29189,41180,Male,1 up to 5,0,1,68,post_college_degree,100-150k,65+,White~H,1.166666667
397,0,New York,36011,12180,Female,More than 20,0,1,47,some_college,100-150k,45-54,White~H,2.3125
403,45060,New York,36067,45060,Male,11 up to 20,0,1,,some_college,100-150k,,,1.58490566
420,26900,Indiana,18097,26900,Female,1 up to 5,0,1,53,college_degree,100-150k,45-54,White~H,3.083333333
455,31100,California,06037,31080,Male,None,1,0,60,college_degree,100-150k,55-64,White~H,1.867924528
474,15940,Ohio,39151,15940,Female,1 up to 5,0,1,42,highschool,100-150k,35-44,White~H,4.698113208
481,12220,Alabama,01081,12220,Female,1 up to 5,0,1,53,post_college_degree,100-150k,45-54,White~H,1.0625
491,49180,North Carolina,37059,49180,Female,More than 20,0,1,58,some_college,100-150k,55-64,White~H,1.0625
542,0,Florida,12023,29380,Male,1 up to 5,0,1,33,some_college,100-150k,25-34,White~H,2.520833333
549,39300,Rhode Island,44007,39300,Female,1 up to 5,0,1,52,post_college_degree,100-150k,45-54,White~H,3
557,39300,Rhode Island,44003,39300,Female,1 up to 5,0,1,71,college_degree,100-150k,65+,White~H,1.75
558,39300,Rhode Island,44007,39300,Male,More than 20,0,1,31,college_degree,100-150k,25-34,White~H,2.047619048
582,12060,Georgia,13121,12060,Female,1 up to 5,0,1,28,post_college_degree,100-150k,25-34,White~H,3.547619048
591,0,Oklahoma,40119,44660,Male,1 up to 5,0,1,46,post_college_degree,100-150k,45-54,White~H,1
600,24500,Montana,30013,24500,Female,1 up to 5,0,1,55,some_college,100-150k,55-64,White~H,1.333333333
632,47900,Maryland,24003,12580,Female,6 up to 10,0,1,55,highschool,100-150k,55-64,White~H,3.358490566
642,12580,Maryland,24003,12580,Male,11 up to 20,0,1,48,college_degree,100-150k,45-54,White~H,1.857142857
648,12580,Maryland,24025,12580,Female,1 up to 5,0,1,40,post_college_degree,100-150k,35-44,White~H,2.4375
653,38300,Pennsylvania,42003,38300,Male,1 up to 5,0,1,30,post_college_degree,100-150k,25-34,Hispanic,3.056603774
657,38300,Washington,53061,42660,Female,None,1,0,29,post_college_degree,100-150k,25-34,Other,3.229166667
702,17420,Tennessee,47011,17420,Female,6 up to 10,0,1,73,some_college,100-150k,65+,White~H,1
705,27740,Tennessee,47179,27740,Female,More than 20,0,1,61,highschool,100-150k,55-64,White~H,4.095238095
729,30860,Utah,49005,30860,Female,11 up to 20,0,1,53,some_college,100-150k,45-54,White~H,2.642857143
736,17460,Ohio,39035,17460,Male,More than 20,0,1,67,post_college_degree,100-150k,65+,White~H,1.645833333
741,17460,Ohio,39093,17460,Male,None,1,0,59,post_college_degree,100-150k,55-64,White~H,1
745,12580,Maryland,24005,12580,Male,11 up to 20,0,1,27,some_college,100-150k,25-34,White~H,2.075471698
747,12580,Maryland,24013,12580,Male,None,1,0,28,post_college_degree,100-150k,25-34,White~H,2.952380952
750,19100,Texas,48121,19100,Male,None,1,0,55,college_degree,100-150k,55-64,White~H,1
755,0,Georgia,13009,33300,Female,6 up to 10,0,1,37,some_college,100-150k,35-44,Black~H,2.785714286
782,30780,Arkansas,05119,30780,Male,None,1,0,45,post_college_degree,100-150k,45-54,White~H,1.261904762
784,30780,Arkansas,05119,30780,Female,11 up to 20,0,1,60,some_college,100-150k,55-64,White~H,1.404761905
789,0,Kentucky,21067,30460,Male,6 up to 10,0,1,19,some_college,100-150k,18-24,White~H,6.071428571
793,31140,Kentucky,21111,31140,Male,6 up to 10,0,1,76,college_degree,100-150k,65+,White~H,1.119047619
796,31140,Kentucky,21111,31140,Male,6 up to 10,0,1,58,college_degree,100-150k,55-64,Other,2.69047619
803,38900,Oregon,41051,38900,Male,6 up to 10,0,1,59,college_degree,100-150k,55-64,White~H,2.0625
809,38900,Oregon,41067,38900,Male,1 up to 5,0,1,47,some_college,100-150k,45-54,White~H,2.666666667
814,38900,Oregon,41005,38900,Male,None,1,0,62,post_college_degree,100-150k,55-64,White~H,1.5
822,0,Oregon,41007,11820,Female,None,1,0,53,some_college,100-150k,45-54,White~H,1.962264151
829,35380,Louisiana,22051,35380,Female,11 up to 20,0,1,49,college_degree,100-150k,45-54,White~H,3.357142857
832,22140,New Mexico,35045,22140,Male,None,1,0,60,post_college_degree,100-150k,55-64,White~H,1.245283019
837,0,New Mexico,35039,21580,Male,More than 20,0,1,42,highschool,100-150k,35-44,Hispanic,2.754716981
848,12700,Massachusetts,25001,12700,Female,None,1,0,56,post_college_degree,100-150k,55-64,White~H,1.583333333
851,14460,Massachusetts,25023,14460,Female,6 up to 10,0,1,46,post_college_degree,100-150k,45-54,Black~H,1.716981132
