TUCASEID,TR1INTST,TR2INTST,TRFNLOUT,TRINCEN2,TUAVGDUR,TUA_ID,TUCPSDP,TUC_ID,TUDQUAL2,TUINCENT,TUINTDQUAL,TUINTID,TUINTRODATE,TUINTROPANMONTH,TUINTROPANYEAR,TULNGSKL,TUTOTACTNO,TUV_ID
20160101160045,1,1,001.001,0,49.7,-1,1,CU59,-1,1,2,QQ94,30,01,2016,0,29,CU51
20160101160066,1,1,001.001,0,110.8,-1,2,CY19,-1,1,2,ZS92,25,01,2016,0,13,CZ39
20160101160069,1,1,001.001,0,110.8,KP73,2,CZ39,-1,1,2,ZO88,01,02,2016,0,13,CU91
20160101160075,4,7,195.001,0,-1,-1,1,-1,-1,1,-1,II96,27,01,2016,0,-1,-1
20160101160080,3,6,021.003,0,-1,-1,1,-1,-1,1,-1,CR17,30,01,2016,0,-1,-1
20160101160083,1,1,001.001,0,55.4,-1,1,CZ39,-1,1,2,II92,25,01,2016,0,26,CU91
20160101160084,1,1,001.001,0,42.4,KP73,2,CZ39,-1,1,2,VV90,01,02,2016,0,34,CU91
20160101160094,1,1,001.001,0,53.3,KP73,2,CZ39,-1,1,2,QQ95,25,01,2016,1,27,CU96
20160101160116,1,1,001.001,0,41.1,KP73,2,CZ39,-1,1,2,RR96,27,01,2016,0,35,CV85
20160101160135,1,1,001.001,0,55.4,-1,1,CU96,-1,1,2,CW50,25,01,2016,0,26,CV85
20160101160139,1,1,001.001,0,75.8,-1,1,CU96,-1,1,2,WW98,01,02,2016,0,19,CR17
20160101160531,3,6,021.003,0,-1,-1,1,-1,-1,0,-1,UU78,01,02,2016,0,-1,-1
20160101160533,1,1,001.001,0,84.7,-1,1,CU96,-1,0,2,ZA96,01,02,2016,0,17,CR17
20160101160546,1,1,001.001,0,84.7,-1,1,CU96,-1,0,2,LL97,01,02,2016,0,17,CR17
20160101160550,1,1,001.001,0,65.5,-1,1,CU96,-1,0,2,WW98,30,01,2016,0,22,CR17
20160101160560,1,1,001.001,0,96,-1,1,CU96,-1,0,2,II98,31,01,2016,0,15,CF27
20160101160564,1,1,001.001,0,130.9,-1,2,CU96,-1,0,2,QQ94,31,01,2016,0,11,CR17
20160101160569,1,1,001.001,0,68.6,KP94,1,CU87,-1,0,2,ZS92,27,01,2016,0,21,CY42
20160101160571,1,1,001.001,0,84.7,-1,1,CU96,-1,0,2,LL97,25,01,2016,0,17,CR17
20160101160573,1,1,001.001,0,72,-1,2,CU96,-1,0,2,VV81,25,01,2016,0,20,CR17
20160101160574,1,1,001.001,0,130.9,-1,1,-1,-1,0,2,CW50,01,02,2016,0,11,-1
20160101160578,1,1,001.001,0,180,-1,1,CU96,-1,0,2,ZA96,25,01,2016,0,8,CR17
20160101160591,1,1,001.001,0,102.9,-1,2,CU96,-1,0,2,II91,25,01,2016,0,14,CR17
20160101160599,3,6,021.003,0,-1,-1,2,-1,-1,0,-1,VV87,01,02,2016,0,-1,-1
20160101160602,1,1,001.001,0,120,-1,1,CU96,-1,0,2,II91,25,01,2016,0,12,CR17
20160101160611,1,1,001.001,0,96,-1,1,CU96,-1,0,2,VV64,25,01,2016,0,15,CF27
20160101160613,1,1,001.001,0,102.9,-1,1,CU96,-1,0,2,CM58,31,01,2016,0,14,CY14
20160101160631,1,1,001.001,0,51.4,KP73,1,CU96,-1,0,2,VV81,31,01,2016,0,28,CY14
20160101160632,1,1,001.001,0,68.6,KP73,1,CU96,-1,0,2,CW50,01,02,2016,0,21,CU74
20160101160648,1,1,001.001,0,130.9,-1,1,CU96,-1,0,2,RR98,29,01,2016,0,11,CU74
20160101160654,3,6,021.003,0,-1,-1,2,-1,-1,0,-1,CM58,29,01,2016,0,-1,-1
20160101160658,1,1,001.001,0,49.7,KP73,1,CU96,-1,0,2,II96,27,01,2016,0,29,CU74
20160101160660,1,1,001.001,0,65.5,KP94,2,CU96,-1,0,2,ZV97,25,01,2016,0,22,CU87
20160101160663,1,1,001.001,0,62.6,-1,1,CU87,-1,0,2,ZS92,31,01,2016,0,23,CY42
20160101160674,1,1,001.001,0,160,-1,1,CU96,-1,0,2,ZV97,30,01,2016,0,9,CU87
20160101160680,1,1,001.001,0,68.6,-1,1,CU96,-1,0,2,WW90,25,01,2016,0,21,CU87
20160101160694,1,1,001.001,0,90,KP73,1,CU96,-1,0,2,VV90,01,02,2016,0,16,CB57
20160101160734,1,1,001.001,0,55.4,KP94,2,CU87,-1,0,2,II91,31,01,2016,0,26,CY42
20160101160758,1,1,001.001,0,96,-1,2,CU87,-1,0,2,CM58,29,01,2016,0,15,CY11
20160101160769,1,1,001.001,0,90,-1,2,CU87,-1,0,2,UU78,25,01,2016,0,16,CY11
20160101160813,1,1,001.001,0,62.6,-1,2,CU87,-1,0,2,CM99,29,01,2016,0,23,CY11
20160101160820,1,1,001.001,0,102.9,-1,2,CU87,-1,0,2,LL97,25,01,2016,0,14,CY11
20160101160828,1,1,001.001,0,24.4,KP94,2,CU87,-1,0,2,ZN94,30,01,2016,0,59,CY11
20160101160829,1,1,001.001,0,160,-1,1,CU87,-1,0,2,WW96,31,01,2016,0,9,CU93
20160101160835,1,1,001.001,0,60,-1,1,CU87,-1,0,2,WW98,28,01,2016,0,24,CY11
20160101160837,1,1,001.001,0,38.9,KP94,1,CU87,-1,0,2,ZG90,30,01,2016,0,37,CY11
20160101160838,3,6,021.003,0,-1,-1,1,-1,-1,0,-1,WW90,25,01,2016,0,-1,-1
20160101160846,1,1,001.001,0,72,KP94,1,CU87,-1,0,2,QQ96,30,01,2016,0,20,CZ39
20160101160856,1,1,001.001,0,45,KP94,1,CU93,-1,0,2,II91,25,01,2016,0,32,CN98
20160101160862,1,1,001.001,0,41.1,KP94,2,CU93,-1,0,2,VV85,30,01,2016,0,35,CN98
20160101160869,1,1,001.001,0,55.4,-1,1,CU93,-1,0,2,CR17,30,01,2016,0,26,CN98
20160101160884,1,1,001.001,0,144,-1,1,CU93,-1,0,2,WW90,25,01,2016,0,10,CY10
20160101160894,1,1,001.001,0,43.6,-1,1,CU93,-1,0,2,RR96,01,02,2016,0,33,CY10
20160101160914,1,1,001.001,0,160,-1,2,CU93,-1,0,2,RR98,01,02,2016,0,9,CY10
20160101160915,1,1,001.001,0,96,-1,1,CU93,-1,0,2,UU78,01,02,2016,0,15,CY10
20160101160916,1,1,001.001,0,68.6,KP94,2,CU93,-1,0,2,VV84,31,01,2016,0,21,CY10
20160101160917,1,1,001.001,0,130.9,-1,1,CU93,-1,0,-1,WW90,31,01,2016,0,11,CY10
20160101160942,1,1,001.001,0,130.9,-1,1,CU93,-1,0,-1,WW98,01,02,2016,0,11,CY10
20160101160969,1,1,001.001,0,65.5,KP94,1,CU93,-1,0,2,ZS92,26,01,2016,0,22,CY10
20160101160974,1,1,001.001,0,62.6,KP94,1,CU93,-1,0,2,WW98,31,01,2016,0,23,CY10
20160101160976,3,6,021.003,0,-1,-1,1,-1,-1,0,-1,ZO88,25,01,2016,0,-1,-1
20160101160982,1,1,001.001,0,48,-1,1,CU93,-1,0,2,WW98,31,01,2016,0,30,CN98
20160101160995,1,1,001.001,0,144,-1,2,CU93,-1,0,2,II96,31,01,2016,0,10,CN98
20160101161013,1,1,001.001,0,96,-1,1,CU93,-1,0,2,WW96,26,01,2016,0,15,CN98
20160101161019,1,1,001.001,0,75.8,KP94,2,CU93,-1,0,2,VV85,31,01,2016,0,19,CU59
20160101161031,1,1,001.001,0,102.9,-1,1,CU93,-1,0,2,CW50,26,01,2016,0,14,CU59
20160101161056,1,1,001.001,0,180,-1,1,CU93,-1,0,2,RR98,25,01,2016,0,8,CY10
20160101161068,1,1,001.001,0,84.7,-1,1,CU93,-1,0,2,ZA96,25,01,2016,0,17,CY10
20160101161070,1,1,001.001,0,120,KP94,2,CU93,2,0,1,II96,31,01,2016,0,12,CY10
20160101161076,1,1,001.001,0,96,-1,1,CU93,-1,0,2,ZV97,25,01,2016,1,15,CY11
20160101161080,1,1,001.001,0,90,-1,2,CU93,-1,0,2,VV82,25,01,2016,0,16,CY11
20160101161086,1,1,001.001,0,42.4,KP94,2,CU93,-1,0,2,VV82,30,01,2016,0,34,CY11
20160101161091,3,6,021.003,0,-1,-1,2,-1,-1,0,-1,CW50,01,02,2016,0,-1,-1
20160101161107,1,1,001.001,0,57.6,KP94,1,CU93,-1,0,2,ZV97,27,01,2016,0,25,CY11
20160101161115,1,1,001.001,0,110.8,-1,1,CU93,-1,0,2,VV90,26,01,2016,0,13,CY11
20160101161136,1,1,001.001,0,144,-1,1,CU93,-1,0,2,VV85,29,01,2016,0,10,CY11
20160101161141,1,1,001.001,0,102.9,KP73,1,CY10,-1,0,2,LL97,25,01,2016,0,14,CU98
