TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
20170101170012,80,3,56,-1,0,5,-1,60,0,0,-1
20170101170012,80,3,56,-1,0,6,-1,0,0,0,-1
20170101170520,85,4,39,10,0,3,-1,60,0,0,0
20170101170521,85,4,33,15,0,2,-1,60,0,0,0
20170101170521,85,1,44,-1,0,3,-1,60,0,0,-1
20170101170521,80,1,44,-1,0,4,-1,0,0,0,-1
20170101170521,85,3,44,-1,0,5,-1,0,0,0,-1
20170101170521,85,3,44,-1,0,6,-1,60,0,0,-1
20170101170598,69,3,41,-1,0,6,-1,0,0,0,-1
20170101170612,85,4,33,18,0,2,-1,60,0,0,0
20170101170668,68,4,20,13,1,2,2,0,0,0,0
20170101170668,59,4,25,5,1,3,3,0,0,0,0
20170101170687,80,4,33,3,0,2,-1,60,0,0,0
20170101170793,79,4,47,4,0,3,-1,0,0,0,0
20170101170793,80,4,48,4,0,4,-1,0,0,0,0
20170101170795,72,1,40,-1,0,3,-1,0,0,0,-1
20170101170806,80,4,39,3,0,3,-1,60,0,0,0
20170101170836,67,4,20,3,1,2,2,0,0,0,0
20170101170887,85,4,24,8,1,2,2,0,0,0,0
20170101170951,80,4,33,2,0,2,-1,0,0,0,0
20170101170952,76,4,47,6,0,4,-1,0,0,0,0
20170101170980,80,4,24,3,1,2,2,0,0,0,0
20170101171053,85,4,34,5,0,2,-1,60,0,0,0
20170101171150,78,4,49,4,0,2,-1,0,0,0,0
20170101171150,76,3,56,-1,0,3,-1,0,0,0,-1
20170101171212,85,4,33,2,0,3,-1,60,0,0,0
20170101171212,85,4,39,1,0,4,-1,60,0,0,0
20170101171280,64,3,34,-1,0,4,-1,0,0,0,-1
20170101171322,85,4,43,3,0,2,-1,60,0,0,0
20170101171322,85,4,44,15,0,3,-1,61,0,0,0
20170101171322,85,4,44,15,0,4,-1,61,0,0,0
20170101171322,74,4,44,15,0,5,-1,42,0,0,0
20170101171322,70,4,44,15,0,6,-1,42,0,0,0
20170101171341,85,4,33,26,0,4,-1,60,0,0,0
20170101171341,85,4,34,26,0,5,-1,60,0,0,0
20170101171579,58,4,34,4,0,5,-1,0,0,0,0
20170101171609,85,4,40,5,0,5,-1,60,0,0,0
20170101171654,85,4,33,3,0,3,-1,60,0,0,0
20170101171716,63,4,34,3,0,5,-1,0,0,0,0
20170101171786,75,4,56,6,0,2,-1,42,0,0,0
20170101171845,78,2,37,-1,0,4,-1,0,0,0,-1
20170101171845,75,1,56,-1,0,5,-1,0,0,0,-1
20170101171876,72,1,56,-1,0,3,-1,0,0,0,-1
20170101171888,68,1,47,-1,0,4,-1,0,0,0,-1
20170101171946,69,4,33,2,0,9,-1,0,0,0,0
20170101171946,67,4,34,2,0,10,-1,0,0,0,0
20170101172007,85,4,39,2,0,3,-1,60,0,0,0
20170101172010,37,4,38,2,0,6,-1,0,0,0,0
20170101172017,79,4,48,5,0,5,-1,0,0,0,0
20170101172030,58,1,43,-1,0,2,-1,0,0,0,-1
20170101172118,85,4,33,2,0,3,-1,60,0,0,0
20170101172172,68,4,43,10,0,2,-1,0,0,0,0
20170101172175,75,3,39,-1,0,3,-1,0,0,0,-1
20170101172175,73,1,40,-1,0,4,-1,0,0,0,-1
20170101172209,85,4,33,26,0,3,-1,60,0,0,0
20170101172209,67,4,44,10,0,4,-1,0,0,0,0
20170101172274,57,4,49,4,0,4,-1,0,42,0,42
20170101172274,80,1,56,-1,0,5,-1,0,0,0,-1
20170101172274,60,3,43,-1,0,6,-1,0,0,0,-1
20170101172274,60,3,43,-1,0,7,-1,0,0,0,-1
20170101172274,80,3,43,-1,0,8,-1,0,0,0,-1
20170101172295,80,4,33,10,0,5,-1,60,0,0,0
20170101172295,80,4,34,10,0,6,-1,60,0,0,0
20170101172338,80,3,26,-1,1,3,3,0,0,0,-1
20170101172345,62,4,38,10,0,2,-1,0,0,0,0
20170101172345,72,4,49,10,0,3,-1,0,0,0,0
20170101172345,80,4,44,8,0,4,-1,60,0,0,0
20170101172345,76,4,44,9,0,5,-1,0,0,0,0
20170101172345,60,4,44,9,0,6,-1,0,0,0,0
20170101172397,80,4,56,5,0,2,-1,60,0,0,0
20170101172402,85,3,33,-1,0,2,-1,60,0,0,-1
20170101172402,85,3,34,-1,0,3,-1,60,0,0,-1
20170101172428,75,4,20,3,1,2,2,0,0,0,0
20170101172535,78,1,43,-1,0,3,-1,0,0,0,-1
20170101172535,75,1,43,-1,0,4,-1,0,0,0,-1
20170101172541,80,2,56,-1,0,2,-1,0,0,0,-1
20170110160773,85,4,47,10,0,5,-1,60,0,0,0
20170111160007,70,1,56,-1,0,5,-1,0,0,0,-1
20170111160521,30,4,22,30,1,3,3,0,0,0,0
20170111160951,80,4,41,5,0,4,-1,0,0,0,0
20170111160979,65,1,38,-1,0,3,-1,0,0,0,-1
20170111160979,80,4,42,3,0,4,-1,60,0,0,0
20170111161009,72,4,33,3,0,4,-1,0,0,0,0
20170111161104,79,1,34,-1,0,2,-1,0,0,0,-1
20170111161126,62,4,33,3,0,4,-1,0,0,0,0
20170111161126,63,4,34,3,0,5,-1,0,0,0,0
20170111161164,72,1,33,-1,0,7,-1,0,0,0,-1
20170111161201,67,3,33,-1,0,6,-1,0,0,0,-1
20170111161259,72,4,43,1,0,5,-1,0,0,0,0
20170111161286,85,3,20,-1,1,3,3,0,0,0,-1
20170111161414,85,2,48,-1,0,5,-1,60,0,0,-1
20170111161414,62,4,33,11,0,6,-1,0,0,0,0
20170111161447,80,4,47,5,0,6,-1,60,0,0,0
20170111161581,85,4,47,4,0,4,-1,60,0,0,42
20170111161581,66,4,41,3,0,5,-1,0,0,0,0
20170111161701,68,4,44,2,0,5,-1,0,0,0,0
20170111161701,62,1,44,-1,0,6,-1,0,0,0,-1
20170111161840,80,4,33,82,0,2,-1,60,0,0,0
20170111161876,85,4,33,3,0,3,-1,60,0,0,0
20170111161917,85,4,33,10,0,2,-1,0,0,0,0
20170111161954,85,4,43,3,0,3,-1,60,0,0,0
20170111161970,77,3,39,-1,0,3,-1,0,0,0,-1
20170111161981,78,4,47,5,0,6,-1,0,0,0,0
20170111161981,62,3,33,-1,0,7,-1,0,0,0,-1
20170111162038,45,3,24,-1,1,2,2,0,0,0,-1
20170111162192,60,4,47,3,0,5,-1,43,0,0,0
20170111162209,67,4,20,18,1,2,2,0,0,0,0
20170111162298,80,2,47,-1,0,7,-1,60,0,0,-1
20170111162316,74,1,56,-1,0,2,-1,0,0,0,-1
20170111162405,85,4,56,5,0,2,-1,61,0,0,0
20170111162447,85,4,33,3,0,3,-1,0,0,0,0
20170111162503,79,4,33,2,0,3,-1,0,0,0,0
20170111162503,80,4,34,2,0,4,-1,60,0,0,0
20170112160021,75,3,34,-1,0,7,-1,0,0,0,-1
20170112160101,85,1,56,-1,0,6,-1,61,0,0,-1
20170112160101,75,1,56,-1,0,7,-1,42,0,0,-1
20170112160137,85,1,56,-1,0,4,-1,60,0,0,-1
20170112160137,79,1,56,-1,0,5,-1,0,0,0,-1
20170112160137,80,1,56,-1,0,6,-1,60,0,0,-1
20170112160137,73,1,56,-1,0,7,-1,0,0,0,-1
20170112160137,85,1,56,-1,0,8,-1,0,0,0,-1
20170112160509,85,4,33,2,0,2,-1,60,0,0,0
20170112160511,75,4,56,2,0,2,-1,0,0,0,0
20170112160511,80,4,56,2,0,3,-1,0,0,0,0
20170112160545,75,4,49,4,0,5,-1,0,0,0,0
20170112160552,80,4,44,5,0,2,-1,60,0,0,0
20170112160562,85,4,24,4,1,2,2,0,0,0,42
20170112160600,80,3,39,-1,0,3,-1,60,0,0,-1
20170112160601,80,4,34,2,0,4,-1,60,0,0,0
20170112160628,74,2,33,-1,0,2,-1,0,43,0,-1
20170112160641,85,4,33,25,0,3,-1,60,0,0,0
20170112160648,69,2,24,-1,1,2,2,0,0,0,-1
20170112160653,62,4,25,3,1,2,2,0,0,0,0
20170112160661,76,1,37,-1,0,2,-1,0,0,0,-1
20170112160683,68,3,56,-1,0,2,-1,0,0,0,-1
20170112160690,80,4,33,9,0,3,-1,60,0,0,0
20170112160690,85,4,34,9,0,4,-1,60,0,0,0
20170112160708,80,4,33,3,0,2,-1,60,0,0,0
20170112160721,80,1,39,-1,0,5,-1,60,0,0,-1
20170112160754,85,4,33,2,0,3,-1,60,0,0,0
20170112160758,72,1,44,-1,0,3,-1,42,0,0,-1
