TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
20160101160045,65,4,20,2,1,2,2,0,0,0,0
20160101160045,43,3,22,-1,1,3,3,0,0,0,-1
20160101160066,67,4,20,10,1,2,2,0,0,0,0
20160101160083,67,3,43,-1,0,5,-1,0,0,0,-1
20160101160083,67,3,43,-1,0,6,-1,0,0,0,-1
20160101160533,69,1,39,-1,0,5,-1,0,0,0,-1
20160101160571,85,3,33,-1,0,3,-1,60,0,0,-1
20160101160769,78,4,47,2,0,5,-1,0,0,0,0
20160101160862,64,4,33,2,0,4,-1,0,0,0,0
20160101160862,72,2,34,-1,0,5,-1,0,0,0,-1
20160101160974,80,4,34,2,0,2,-1,60,0,0,0
20160101160995,85,3,47,-1,0,6,-1,60,0,0,-1
20160101160995,85,3,48,-1,0,7,-1,60,0,0,-1
20160101161076,70,4,33,4,0,6,-1,0,0,0,0
20160101161076,75,4,34,4,0,7,-1,0,0,0,0
20160101161080,76,3,40,-1,0,6,-1,0,0,0,-1
20160101161107,68,4,33,2,0,5,-1,0,0,0,0
20160101161107,72,4,34,2,0,6,-1,0,0,0,0
20160101161144,85,4,33,10,0,2,-1,60,0,0,0
20160101161256,55,4,56,25,0,2,-1,0,0,0,0
20160101161290,67,4,42,5,0,4,-1,0,0,0,0
20160101161290,75,4,42,2,0,5,-1,0,0,0,0
20160101161290,59,4,33,2,0,6,-1,0,0,0,0
20160101161418,85,4,26,5,1,5,5,0,0,0,0
20160101161451,85,4,33,5,0,2,-1,60,0,0,0
20160101161451,56,4,37,5,0,3,-1,0,0,0,0
20160101161508,85,2,49,-1,0,4,-1,60,0,0,-1
20160101161546,80,1,56,-1,0,4,-1,60,0,0,-1
20160101161577,75,2,20,-1,1,2,2,0,0,0,-1
20160101161590,73,3,33,-1,0,4,-1,0,0,0,-1
20160101161656,67,1,20,-1,1,2,2,0,0,0,-1
20160101161971,85,1,39,-1,0,4,-1,60,0,0,-1
20160101161971,85,1,40,-1,0,5,-1,0,0,0,-1
20160101162041,67,4,39,4,0,4,-1,0,0,0,0
