TUCASEID,TR1INTST,TR2INTST,TRFNLOUT,TRINCEN2,TUAVGDUR,TUA_ID,TUCPSDP,TUC_ID,TUDQUAL2,TUINCENT,TUINTDQUAL,TUINTID,TUINTRODATE,TUINTROPANMONTH,TUINTROPANYEAR,TULNGSKL,TUTOTACTNO,TUV_ID
20180101180001,2,5,021.002,0,-1,-1,2,-1,-1,1,-1,KP77,29,01,2018,0,-1,-1
20180101180003,4,7,195.001,0,-1,-1,1,-1,-1,1,-1,CV97,28,01,2018,0,-1,-1
20180101180006,1,1,001.001,0,90,-1,1,CY19,-1,1,2,VV82,01,02,2018,0,16,CF27
20180101180021,1,1,001.001,0,120,-1,1,-1,-1,1,2,II92,22,01,2018,0,12,-1
20180101180025,1,1,001.001,0,80,KP94,2,CU56,-1,1,2,QQ82,24,01,2018,0,18,CK83
20180101180047,4,7,195.001,0,-1,-1,1,-1,-1,1,-1,VV64,01,02,2018,0,-1,-1
20180101180054,1,1,001.001,0,68.6,KP94,1,CF27,-1,1,2,WW96,28,01,2018,0,21,CN82
20180101180060,1,1,001.001,0,57.6,-1,1,CF27,-1,1,2,ZN94,29,01,2018,0,25,CN88
20180101180087,1,1,001.001,0,160,-1,1,CF27,-1,1,2,QQ94,25,01,2018,0,9,CN88
20180101180096,1,1,001.001,0,62.6,-1,2,CF27,-1,1,2,CV97,30,01,2018,0,23,CN82
20180101180100,4,7,195.001,0,-1,-1,1,-1,-1,1,-1,QQ86,27,01,2018,0,-1,-1
20180101180108,1,1,001.001,0,205.7,-1,1,-1,-1,1,2,QQ71,29,01,2018,0,7,-1
20180101180124,4,7,195.001,0,-1,-1,2,-1,-1,1,-1,CM99,30,01,2018,0,-1,-1
20180101180129,4,7,195.001,0,-1,-1,2,-1,-1,1,-1,QQ79,27,01,2018,0,-1,-1
20180101180145,1,1,001.001,0,65.5,-1,1,CF27,-1,1,2,WW96,29,01,2018,1,22,CN88
20180101180146,1,1,001.001,0,80,KP94,1,CF27,-1,1,2,CV97,23,01,2018,0,18,CN82
20180101180157,4,7,195.001,0,-1,-1,1,-1,-1,1,-1,QQ79,27,01,2018,0,-1,-1
20180101180165,1,1,001.001,0,41.1,-1,1,CF27,-1,1,2,CV97,24,01,2018,0,35,CN82
20180101180507,1,1,001.001,0,62.6,-1,1,CF27,-1,0,2,QQ82,30,01,2018,0,23,CU96
20180101180519,1,1,001.001,0,90,-1,1,CF27,-1,0,2,ZS92,28,01,2018,0,16,CV85
20180101180521,1,1,001.001,0,180,-1,1,CF27,-1,0,2,QQ86,27,01,2018,0,8,CU96
20180101180524,1,1,001.001,0,84.7,-1,1,CF27,-1,0,2,WW96,26,01,2018,0,17,CU96
20180101180532,1,1,001.001,0,43.6,KP94,2,CU96,-1,0,2,VV82,29,01,2018,0,33,CF27
20180101180542,1,1,001.001,0,60,-1,1,CV85,-1,0,2,CV97,31,01,2018,0,24,CJ98
20180101180549,1,1,001.001,0,33.5,KP94,1,CU96,-1,0,2,II92,27,01,2018,0,43,CN82
20180101180553,1,1,001.001,0,68.6,KP94,1,CU96,-1,0,2,QQ85,22,01,2018,0,21,CY10
20180101180555,1,1,001.001,0,120,KP94,1,CY10,-1,0,2,ZS92,26,01,2018,0,12,CY11
20180101180567,2,3,231.001,0,288,-1,1,-1,-1,0,2,CV97,31,01,2018,0,5,-1
20180101180571,1,1,001.001,0,41.1,KP94,1,CU96,-1,0,2,QQ63,24,01,2018,0,35,CN88
20180101180576,1,1,001.001,0,75.8,KP94,1,CY10,-1,0,2,WW96,30,01,2018,0,19,CN87
20180101180577,1,1,001.001,0,65.5,KP94,1,CY10,-1,0,2,QQ86,29,01,2018,0,22,CY11
20180101180581,2,3,181.001,0,-1,-1,1,-1,-1,0,-1,KP77,22,01,2018,0,-1,-1
20180101180595,1,1,001.001,0,68.6,KP94,1,CY10,-1,0,2,WW96,29,01,2018,0,21,CN87
20180101180602,3,6,020.015,0,-1,-1,2,-1,-1,0,-1,CM58,29,01,2018,0,-1,-1
20180101180604,1,1,001.001,0,160,HX35,2,CY10,3,0,1,CM58,29,01,2018,0,9,CY11
20180101180623,1,1,001.001,0,130.9,-1,1,CY10,-1,0,2,QQ85,29,01,2018,0,11,CY11
20180101180648,1,1,001.001,0,40,KP94,2,CY10,-1,0,2,ZN94,24,01,2018,1,36,CY11
20180101180652,1,1,001.001,0,110.8,KP94,2,CY10,-1,0,2,CV97,01,02,2018,0,13,CY11
