TUCASEID,TR1INTST,TR2INTST,TRFNLOUT,TRINCEN2,TUAVGDUR,TUA_ID,TUCPSDP,TUC_ID,TUDQUAL2,TUINCENT,TUINTDQUAL,TUINTID,TUINTRODATE,TUINTROPANMONTH,TUINTROPANYEAR,TULNGSKL,TUTOTACTNO,TUV_ID
20190101190022,1,1,001.001,0,160,-1,1,CJ95,-1,1,2,QQ94,28,01,2019,0,9,CJ98
20190101190031,1,1,001.001,0,180,HX34,1,CJ95,-1,1,2,II96,31,01,2019,0,8,CJ98
20190101190057,1,1,001.001,0,130.9,-1,1,CJ95,-1,1,2,WW96,01,02,2019,0,11,CJ98
20190101190107,1,1,001.001,0,60,HX34,1,CJ95,-1,1,2,QQ68,30,01,2019,0,24,CS98
20190101190555,1,1,001.001,0,62.6,KP77,2,CJ98,-1,0,2,WW96,28,01,2019,0,23,CJ95
20190101190565,1,1,001.001,0,36,KP77,1,CJ98,-1,0,2,CV97,30,01,2019,0,40,CN85
20190101190568,1,1,001.001,0,120,-1,1,CJ98,-1,0,2,QQ82,28,01,2019,1,12,CS99
20190101190587,1,1,001.001,0,60,KP77,2,CJ98,-1,0,2,QQ68,28,01,2019,1,24,CS99
20190101190607,1,1,001.001,0,75.8,-1,1,CJ98,-1,0,-1,QQ85,28,01,2019,0,19,CS98
20190101190631,3,6,021.003,0,-1,-1,1,-1,-1,0,-1,VV82,01,02,2019,0,-1,-1
20190101190654,1,1,001.001,0,80,KP77,1,CN85,-1,0,2,QQ67,30,01,2019,0,18,CY10
20190101190677,1,1,001.001,0,72,KP77,1,CJ98,-1,0,2,CV97,28,01,2019,0,20,CS99
20190101190703,1,1,001.001,0,288,-1,1,CJ98,-1,0,2,QQ71,01,02,2019,0,5,CS98
20190101190725,1,1,001.001,0,60,-1,1,CJ98,-1,0,2,WW96,31,01,2019,0,24,CS98
20190101190755,1,1,001.001,0,60,KP77,2,CJ98,-1,0,2,WW96,28,01,2019,0,24,CN85
20190101190757,1,1,001.001,0,68.6,KP77,2,CJ98,-1,0,-1,QQ85,01,02,2019,0,21,CS99
20190101190760,1,1,001.001,0,26.7,KP77,2,CJ98,-1,0,2,II96,30,01,2019,0,54,CS99
20190101190778,1,1,001.001,0,72,HX34,1,CJ98,-1,0,2,QQ68,28,01,2019,0,20,CS98
20190101190790,1,1,001.001,0,62.6,KP77,2,CJ98,-1,0,2,LL95,31,01,2019,0,23,CN85
20190101190802,1,1,001.001,0,96,-1,1,CJ98,-1,0,2,CM99,01,02,2019,0,15,CN85
20190101190817,1,1,001.001,0,57.6,KP77,2,CJ98,-1,0,2,QQ94,28,01,2019,0,25,CN85
20190101190827,1,1,001.001,0,102.9,-1,1,CJ98,-1,0,2,QQ82,30,01,2019,0,14,CN85
20190101190838,1,1,001.001,0,84.7,KP77,1,CJ98,-1,0,2,QQ48,28,01,2019,0,17,CS94
20190101190851,2,3,231.001,0,75.8,KP77,1,CY10,-1,0,2,QQ79,28,01,2019,0,19,CS99
20190101190855,1,1,001.001,0,33.5,KP77,1,CN85,-1,0,2,WW96,29,01,2019,0,43,CS99
20190101190877,1,1,001.001,0,90,-1,1,CN85,-1,0,2,CV97,31,01,2019,0,16,CY10
20190101190912,1,1,001.001,0,84.7,-1,2,CN85,-1,0,2,QQ60,31,01,2019,0,17,CY10
20190101190950,1,1,001.001,0,72,KP77,2,CN85,-1,0,2,VV82,31,01,2019,0,20,CS95
