GTCBSA,NAME,ALAND,SQRT_ALAND,POP,LOG_POP,POP_DEN,L_POPDEN,POP15,L_POP15DEN,LOG_POP15,POP15_DEN,TUFINLWGT,AVG_FAMILY_TIME,AVG_FAMILY_IX,AVG_HHFAMILY_TIME,AVG_HHFAMILY_IX,AVG_NHFAMILY_TIME,AVG_NHFAMILY_IX,AVG_FRIEND_TIME,AVG_FRIEND_IX,AVG_CCC_TIME,AVG_CCC_IX,AVG_NHSOCIAL_TIME,AVG_NHFAMILY_SOCIAL_TIME_RATIO,AVG_TRIP_TO_NHFAMILY_DUR,RESP_COUNT
43780,"South Bend-Mishawaka, IN-MI",947.879874513,30.787657827658798,321739,5.51,339.43,2.530750224129781,260073,2.438336623263845,5.42,274.37,401335094.589471,299.58,0.68,197.12,0.65,110.46,0.28,116.81,0.45,116.0,0.3,343.27,0.17,3.85,36
43900,"Spartanburg, SC",808.3684229049,28.431820604824093,307617,5.49,380.54,2.580400313843089,248451,2.487633217456876,5.4,307.35,260035890.29795,288.79,0.71,221.21,0.64,96.93,0.52,66.23,0.2,87.53,0.22,250.69,0.44,7.18,34
44060,"Spokane-Spokane Valley, WA",4241.2936305168,65.12521501320974,550160,5.74,129.72,2.113006940000935,448883,2.024649831179445,5.65,105.84,610512374.71735,344.4,0.79,291.85,0.71,77.19,0.31,28.82,0.11,103.01,0.3,209.01,0.26,6.04,78
44100,"Springfield, IL",1182.6409799061,34.38954753854868,209167,5.32,176.86,2.247629620679114,170607,2.159145927854047,5.23,144.26,328953768.608874,321.09,0.81,243.71,0.69,97.17,0.45,59.08,0.2,79.64,0.31,235.89,0.32,6.84,38
44140,"Springfield, MA",1843.432998264,42.93521862368934,699480,5.84,379.44,2.579143111643815,587338,2.503259402590862,5.77,318.61,808028897.582353,234.35,0.77,167.03,0.57,81.04,0.38,38.15,0.19,218.47,0.48,337.66,0.24,2.7,84
44180,"Springfield, MO",3006.9424934406,54.835595131635074,462434,5.67,153.79,2.186928096934767,375684,2.096701501610003,5.57,124.94,780864692.485255,389.81,0.91,334.33,0.83,106.95,0.47,12.63,0.09,114.82,0.27,234.4,0.38,5.37,66
44700,"Stockton, CA",1392.3625080222,37.314374013538,742603,5.87,533.34,2.727004156583357,574484,2.615529223637133,5.76,412.6,715710779.242738,267.55,0.79,227.83,0.74,62.44,0.31,24.83,0.11,169.2,0.36,256.46,0.22,5.05,70
45060,"Syracuse, NY",2384.8753039254,48.83518510178292,652416,5.81,273.56,2.437052595060992,539494,2.354511799744273,5.73,226.21,729551579.466223,353.38,0.93,271.62,0.84,108.27,0.48,32.8,0.21,165.16,0.35,306.23,0.38,5.41,72
45220,"Tallahassee, FL",2389.2887408247,48.880351275586186,382197,5.58,159.96,2.204011395461484,321454,2.128851423346783,5.51,134.54,459633338.798627,254.31,0.82,221.26,0.77,43.44,0.26,82.34,0.26,298.98,0.53,424.76,0.13,3.16,48
45300,"Tampa-St. Petersburg-Clearwater, FL",2515.1646663,50.15141739073782,3097859,6.49,1231.67,3.090494363366782,2586099,3.012077599531015,6.41,1028.2,3121492614.778521,328.87,0.79,270.19,0.69,84.43,0.36,52.64,0.21,146.32,0.32,283.38,0.24,5.56,349
45460,"Terre Haute, IN",1909.9571966046,43.7030570624596,186908,5.27,97.86,1.990605211423919,154521,1.907948521612272,5.19,80.9,376577390.149134,366.95,0.72,284.15,0.68,126.35,0.4,20.01,0.08,165.21,0.34,311.57,0.25,3.61,38
